Name,sat_score,Number of Exams with scores 3 4 or 5,AVERAGE CLASS SIZE,total_enrollment,ell_percent,asian_per,black_per,white_per,hispanic_per,male_per,female_per,school_dist,saf_s_11
HIGH SCHOOL FOR INTERNATIONAL BUSINESS AND FINAN,1127,43,26.0375,630,43,0.5,5.2,1.4,91.4,63.8,36.2,6,7.1
HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS        ,1098,153.45,23.36875,572,26.9,1,10.7,0.5,87.1,63.5,36.5,6,6.4
HIGH SCHOOL FOR LAW AND PUBLIC SERVICE          ,1102,82,24.96666667,694,32,1,13,1.3,84.4,58.6,41.4,6,6.5
HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES     ,1224,17,27.63125,679,31.2,0.7,13.7,1,83.8,52.7,47.3,6,6.4
A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL           ,1309,72,30.04210526,1285,2.3,4,32.8,0.7,62.3,49.9,50.1,6,6.1
GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MAT,1014,73,25.43076923,472,89.6,0,0,0,99.8,48.9,51.1,6,7.7
SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL ,1090,24,21.38666667,622,8.8,0.6,29.9,0.5,68.8,47.4,52.6,7,7.1
INTERNATIONAL COMMUNITY HIGH SCHOOL             ,945,153.45,16.2,393,90.1,4.8,20.1,2,71.8,48.6,51.4,7,7.3
COMMUNITY SCHOOL FOR SOCIAL JUSTICE             ,1077,153.45,22.64375,319,13.2,0.6,32.3,0.9,65.5,49.2,50.8,7,7.2
MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL      ,1097,153.45,24.34285714,363,9.6,1.1,22.6,0,76,50.1,49.9,7,6.9
UNIVERSITY HEIGHTS SECONDARY SCHOOL AT BRONX COM,1201,153.45,26.88571429,465,3.7,2.6,18.1,1.3,78.1,43.2,56.8,7,7.2
HOSTOSLINCOLN ACADEMY OF SCIENCE               ,1257,39,21.35555556,538,5.6,2,24,0.7,72.7,45.2,54.8,7,6.8
